Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
MSAA,instance_008.txt,6,HV,23640.248456544225
MSAA,instance_008.txt,7,HV,21681.498516434665
MSAA,instance_008.txt,8,HV,20822.23551626809
MSAA,instance_008.txt,9,HV,32386.97613050495
MSAA,instance_008.txt,0,NHV,0.6818117285953795
MSAA,instance_008.txt,1,NHV,0.6848299011237815
MSAA,instance_008.txt,2,NHV,0.7027185716737532
MSAA,instance_008.txt,3,NHV,0.6874392516533855
MSAA,instance_008.txt,4,NHV,0.5644554781572877
MSAA,instance_008.txt,5,NHV,0.7114981659870437
MSAA,instance_008.txt,6,NHV,0.7233157443723617
MSAA,instance_008.txt,7,NHV,0.7462408532237396
MSAA,instance_008.txt,8,NHV,0.7562976233133807
MSAA,instance_008.txt,9,NHV,0.6209444922217715
MSAA,instance_009.txt,0,Time,231.56826853752136
MSAA,instance_009.txt,1,Time,229.59120512008667
MSAA,instance_009.txt,2,Time,243.23941469192505
MSAA,instance_009.txt,3,Time,239.15098428726196
MSAA,instance_009.txt,4,Time,244.49877834320068
MSAA,instance_009.txt,5,Time,236.51898860931396
MSAA,instance_009.txt,6,Time,236.30697584152222
MSAA,instance_009.txt,7,Time,240.65383315086365
MSAA,instance_009.txt,8,Time,230.98730039596558
MSAA,instance_009.txt,9,Time,233.28529858589172
MSAA,instance_009.txt,0,GD,4.881470971340609
MSAA,instance_009.txt,1,GD,3.746349084800551
MSAA,instance_009.txt,2,GD,3.493007423669492
MSAA,instance_009.txt,3,GD,4.927947710090497
MSAA,instance_009.txt,4,GD,5.240450448121194
MSAA,instance_009.txt,5,GD,4.575091297418458
MSAA,instance_009.txt,6,GD,4.5074134487350275
MSAA,instance_009.txt,7,GD,4.229064499479053
MSAA,instance_009.txt,8,GD,3.468924478855272
MSAA,instance_009.txt,9,GD,3.9754811780928776
MSAA,instance_009.txt,0,IGD,2.520335372298964
MSAA,instance_009.txt,1,IGD,2.488981447998073
MSAA,instance_009.txt,2,IGD,2.0664778560679182
MSAA,instance_009.txt,3,IGD,2.5733648199603407
MSAA,instance_009.txt,4,IGD,2.6673828283198584
MSAA,instance_009.txt,5,IGD,2.4924630487531236
MSAA,instance_009.txt,6,IGD,2.4082350844824285
MSAA,instance_009.txt,7,IGD,2.5027294059971124
MSAA,instance_009.txt,8,IGD,2.82165538937351
MSAA,instance_009.txt,9,IGD,2.5244457441239767
MSAA,instance_009.txt,0,EPSILON,1.8813121309867389
MSAA,instance_009.txt,1,EPSILON,1.8508773048566936
MSAA,instance_009.txt,2,EPSILON,1.6877870394240595
